
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0272                          U1                                 1   2      1   1   2 64         64 0 VCC                 (43-2-13)
40-0272                          U1                                 1   2      1   1   3 48         48 0 VCC                 (43-2-13)
40-0272                          U1                                 1   2      1   1   4 32         32 0 VCC                 (43-2-13)
40-0272                          U1                                 1   2      1   1   5 19         19 0 VCC                 (43-2-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0272                          U1                                 1   3      1   1   6 63         63 0 GND                 (43-1-13)
40-0272                          U1                                 1   3      1   1   7 47         47 0 GND                 (43-1-13)
40-0272                          U1                                 1   3      1   1   8 31         31 0 GND                 (43-1-13)
40-0272                          U1                                 1   3      1   1   9 18         18 0 GND                 (43-1-13)
40-0272                          U1                                 1   3      1   1  10 12         12 0 GND                 (43-1-13)
40-0287                          U3                                17   1      1   1   1 3           3 0 VCC                 (43-2-13)
40-0287                          U3                                17   1      2   2   1 1           1 0 XSIG020066          (4076-22-13)
40-0287                          U3                                17   1      3   3   1 5           5 0 VCC                 (43-2-13)
40-0287                          U3                                17   2      1   1   2 2           2 0 GND                 (43-1-13)
40-0287                          U3                                 0   3      1   1   3 4           4 1                     (0-0-0)
70-0003                          J9                                49   1      1   1   1 1           1 0 GND                 (43-1-13)
70-0003                          J9                                49   1      2   2   1 2           2 0 XSIG020351          (4142-1-13)
70-0003                          J9                                49   1      3   3   1 3           3 0 VCC                 (43-2-13)
70-0003                          J10                               50   1      1   1   1 1           1 0 GND                 (43-1-13)
70-0003                          J10                               50   1      2   2   1 2           2 0 XSIG020182          (4076-63-13)
70-0003                          J10                               50   1      3   3   1 3           3 0 VCC                 (43-2-13)
70-0009                          J1                                41   1      1   1   1 1           1 0 PC10                (4112-14-13)
70-0009                          J1                                41   1      2   2   1 2           2 0 PB3                 (4112-11-13)
70-0009                          J1                                41   1      3   3   1 3           3 0 VCC                 (43-2-13)
70-0009                          J1                                41   1      4   4   1 4           4 0 PB4                 (4112-10-13)
70-0009                          J1                                41   1      5   5   1 5           5 0 PA15                (4112-9-13)
70-0009                          J1                                41   1      6   6   1 6           6 0 PB5                 (4076-46-13)
70-0009                          J1                                41   1      7   7   1 7           7 0 GND                 (43-1-13)
70-0009                          J1                                41   1      8   8   1 8           8 0 PB6                 (4076-45-13)
70-0009                          J1                                41   1      9   9   1 9           9 0 GND                 (43-1-13)
70-0009                          J1                                41   1     10  10   1 10         10 0 PB7                 (4076-48-13)
70-0013                          J12                               51   1      1   1   1 1           1 0 PC3                 (4076-52-13)
70-0013                          J12                               51   1      2   2   1 2           2 0 PC4                 (4076-56-13)
70-0013                          J12                               51   1      3   3   1 3           3 0 PA2                 (4076-54-13)
70-0013                          J12                               51   1      4   4   1 4           4 0 VCC                 (43-2-13)
70-0013                          J12                               51   1      5   5   1 5           5 0 PA3                 (4076-55-13)
70-0013                          J12                               51   1      6   6   1 6           6 0 PC13                (4076-60-13)
70-0013                          J12                               51   1      7   7   1 7           7 0 PA4                 (4173-3-13)
70-0013                          J12                               51   1      8   8   1 8           8 0 PC14                (4076-62-13)
70-0013                          J12                               51   1      9   9   1 9           9 0 PA5                 (4173-4-13)
70-0013                          J12                               51   1     10  10   1 10         10 0 PC15                (4076-61-13)
70-0013                          J12                               51   1     11  11   1 11         11 0 PA6                 (4173-5-13)
